Make,Model,Kilometer,Fuel Type,Transmission,Location,Owner,Seller Type,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Car_Age,Engine (cc),Max Power (BHP),Max Power (RPM)
7,106,87150,6,1,56,1,1,1,3990,1680,1505,5,35,8,1198,87,6000
19,802,75000,2,1,40,3,2,1,3995,1695,1555,5,42,11,1248,74,4000
8,1030,67000,6,1,39,1,2,1,3585,1595,1550,5,35,14,1197,79,6000
30,492,37500,6,1,41,1,2,1,3995,1745,1510,5,37,6,1197,82,6000
30,548,69000,2,1,45,1,2,2,4735,1830,1795,7,55,7,2393,148,3400
19,216,73315,6,1,56,1,2,1,4490,1730,1485,5,43,8,1373,91,6000
21,169,47000,6,0,45,3,2,1,4630,1777,1432,5,52,10,1991,181,5500
1,950,75000,2,0,12,3,2,0,4439,1821,1612,5,51,8,1995,188,4000
27,624,56000,6,0,45,1,2,1,4670,1814,1476,5,50,8,1798,177,5100
23,834,85000,2,1,45,1,2,1,4331,1822,1671,5,50,10,1461,84,3750
8,397,20281,6,1,45,1,2,1,3985,1734,1505,5,45,8,1197,82,6000
25,590,22541,6,1,6,1,2,1,3679,1579,1478,5,28,7,999,67,5500
19,200,30672,6,0,6,1,2,1,4490,1730,1485,5,43,6,1462,103,6000
29,526,20856,2,1,6,1,2,1,4598,1894,1706,5,50,6,1956,138,3750
31,640,41417,6,0,6,1,2,1,3971,1682,1469,5,45,8,1197,103,5000
19,195,11471,6,0,6,1,2,1,3695,1600,1560,5,35,9,998,67,6000
19,74,3583,6,1,6,1,2,1,3445,1515,1475,5,35,6,796,47,6000
19,128,21365,6,0,6,1,2,1,3995,1745,1510,5,37,7,1197,82,6000
19,944,30777,6,0,6,1,2,1,3655,1620,1675,5,32,5,1197,82,6000
8,279,60125,6,1,15,1,2,1,4270,1780,1630,5,60,9,1591,122,6400
19,728,2169,6,0,45,1,2,1,3565,1520,1564,5,27,5,998,67,5500
31,876,60240,6,0,6,1,2,1,4384,1699,1466,5,55,10,1197,103,5000
8,753,13772,6,0,6,1,2,1,3610,1645,1560,5,35,7,1086,68,5500
8,889,27464,6,1,6,1,2,1,3995,1770,1605,5,45,6,998,118,6000
19,84,47377,0,1,15,1,2,1,3545,1490,1475,4,60,6,998,58,6000
19,707,23086,6,1,45,1,2,1,3775,1680,1620,5,43,12,1197,85,6000
8,285,36313,6,1,45,1,2,1,4270,1780,1630,5,60,6,1591,122,6400
7,145,39276,6,1,45,1,2,1,3610,1680,1500,5,35,11,1198,87,6000
8,385,47752,6,1,45,1,2,1,3985,1734,1505,5,45,10,1197,82,6000
7,925,27963,6,1,15,1,2,1,3999,1734,1601,5,40,7,1199,89,6000
8,890,24013,6,1,45,1,2,1,3995,1770,1605,5,45,5,998,118,6000
8,283,66000,2,0,58,1,2,1,4270,1780,1630,5,60,9,1582,126,4000
6,368,28000,6,1,45,1,2,1,3999,1765,1708,5,52,10,999,124,6000
7,172,67000,6,0,45,1,2,1,4280,1767,1591,5,52,12,1692,129,4835
8,747,72000,0,1,32,3,2,1,3565,1525,1590,5,35,16,1086,62,5500
29,850,27069,6,1,45,1,2,1,3746,1647,1535,5,35,7,1199,84,6000
29,858,43000,2,1,54,1,2,1,3992,1677,1537,5,35,7,1047,69,4000
30,547,71000,2,1,45,1,2,2,4735,1830,1795,8,55,6,2393,148,3400
21,478,45600,2,0,45,3,2,0,4656,1890,1639,5,66,8,2143,168,3000
8,302,60000,2,1,54,1,2,1,4270,1780,1665,5,55,7,1582,126,4000
21,599,105101,2,0,71,1,2,0,4804,2141,1796,5,70,11,2143,203,4200
30,274,45000,6,0,45,1,2,1,4620,1775,1475,5,55,9,1798,138,6400
0,47,66000,2,0,27,1,2,1,4701,1826,1427,5,63,12,1968,177,4200
21,734,34105,6,0,45,1,2,2,4082,1777,1297,2,70,15,1796,165,5500
8,385,68397,6,1,54,1,2,1,3985,1734,1505,5,45,10,1197,82,6000
18,841,65000,2,1,75,3,2,0,3920,1726,1930,6,60,10,2498,105,3800
19,129,27469,6,1,15,1,2,1,3995,1745,1500,5,37,6,1197,83,6000
19,187,41058,6,0,15,1,2,1,3600,1600,1560,5,35,9,998,67,6000
19,209,51330,2,1,45,1,2,1,4490,1730,1485,5,43,9,1248,89,4000
19,211,45969,6,1,45,1,2,1,4490,1730,1485,5,43,10,1373,91,6000
8,304,66602,2,0,45,1,2,1,4270,1780,1630,5,60,8,1582,126,4000
8,303,57983,6,1,45,1,2,1,4270,1780,1630,5,60,9,1591,122,6400
25,588,11183,6,0,45,1,2,1,3679,1579,1478,5,28,6,999,67,5500
16,535,46301,2,1,45,1,2,1,4655,1835,1760,5,60,6,1956,169,3750
29,856,34867,6,0,45,3,2,1,3746,1647,1535,5,35,8,1199,84,6000
30,557,43634,2,1,15,1,2,2,4585,1765,1760,7,55,10,2494,101,3600
1,952,9512,2,0,45,1,1,0,4657,1881,1678,5,67,7,1995,190,4000
11,257,11293,2,0,45,1,2,0,4395,1818,1640,5,60,5,1956,171,3750
18,771,78000,2,1,24,3,2,2,4430,1817,1975,8,60,11,2179,120,4000
7,144,50374,6,1,71,1,2,1,3610,1680,1500,5,35,9,1198,87,6000
1,9,15900,6,0,15,1,2,2,4633,1811,1429,5,57,8,1998,181,5000
7,237,64000,6,1,45,1,2,1,4440,1695,1495,5,40,8,1497,117,6600
31,643,78000,2,1,29,1,2,1,3970,1682,1453,5,45,12,1199,74,4200
19,921,24000,6,1,45,1,2,1,3995,1790,1640,5,48,4,1462,103,6000
